scenario,gate,passed,reason_code,explanation
G01,POLICY_VERSION_GATE,True,,Policy identity matches.
G01,FINAL_TEST_POLICY_GATE,True,,No final-test or integrity-audit access requested.
G01,EVIDENCE_VALIDITY_GATE,True,,Official evidence is VALID.
G01,LINEAGE_COMPLETENESS_GATE,True,,Required lineage is complete.
G01,MODEL_SPEC_FINGERPRINT_GATE,True,,Model fingerprint matches the freeze.
G01,FEATURE_SPEC_FINGERPRINT_GATE,True,,Feature fingerprint matches the freeze.
G01,PROTOCOL_COMPATIBILITY_GATE,True,,Protocol hash is recognized.
G01,REPRODUCIBILITY_METADATA_GATE,True,,Reproducibility metadata is complete.
G01,DEVIATION_STATUS_GATE,True,,No unresolved critical deviation affects eligibility.
G01,BENCHMARK_GATE,False,BENCHMARK_GATE_FAILED,Candidate does not strictly outperform the predefined strongest development benchmark.
G01,STATISTICAL_EVIDENCE_GATE,False,STATISTICAL_EVIDENCE_FAILED,Statistical evidence fails or is insufficient for the requested elevation.
G01,STATE_TRANSITION_GATE,True,,Requested transition is defined by policy.
G01,APPROVAL_GATE,True,,Approval is not required for this transition.
G02,POLICY_VERSION_GATE,True,,Policy identity matches.
G02,FINAL_TEST_POLICY_GATE,True,,No final-test or integrity-audit access requested.
G02,EVIDENCE_VALIDITY_GATE,True,,Official evidence is VALID.
G02,LINEAGE_COMPLETENESS_GATE,True,,Required lineage is complete.
G02,MODEL_SPEC_FINGERPRINT_GATE,True,,Model fingerprint matches the freeze.
G02,FEATURE_SPEC_FINGERPRINT_GATE,True,,Feature fingerprint matches the freeze.
G02,PROTOCOL_COMPATIBILITY_GATE,True,,Protocol hash is recognized.
G02,REPRODUCIBILITY_METADATA_GATE,True,,Reproducibility metadata is complete.
G02,DEVIATION_STATUS_GATE,True,,No unresolved critical deviation affects eligibility.
G02,BENCHMARK_GATE,False,BENCHMARK_GATE_FAILED,Candidate does not strictly outperform the predefined strongest development benchmark.
G02,STATISTICAL_EVIDENCE_GATE,False,STATISTICAL_EVIDENCE_FAILED,Statistical evidence fails or is insufficient for the requested elevation.
G02,STATE_TRANSITION_GATE,True,,Requested transition is defined by policy.
G02,APPROVAL_GATE,True,,Approval is not required for this transition.
G03,POLICY_VERSION_GATE,True,,Policy identity matches.
G03,FINAL_TEST_POLICY_GATE,True,,No final-test or integrity-audit access requested.
G03,EVIDENCE_VALIDITY_GATE,True,,Official evidence is VALID.
G03,LINEAGE_COMPLETENESS_GATE,True,,Required lineage is complete.
G03,MODEL_SPEC_FINGERPRINT_GATE,True,,Model fingerprint matches the freeze.
G03,FEATURE_SPEC_FINGERPRINT_GATE,True,,Feature fingerprint matches the freeze.
G03,PROTOCOL_COMPATIBILITY_GATE,True,,Protocol hash is recognized.
G03,REPRODUCIBILITY_METADATA_GATE,True,,Reproducibility metadata is complete.
G03,DEVIATION_STATUS_GATE,True,,No unresolved critical deviation affects eligibility.
G03,BENCHMARK_GATE,False,BENCHMARK_GATE_FAILED,Candidate does not strictly outperform the predefined strongest development benchmark.
G03,STATISTICAL_EVIDENCE_GATE,False,STATISTICAL_EVIDENCE_FAILED,Statistical evidence fails or is insufficient for the requested elevation.
