scenario,requested_transition,key_condition,expected_decision,actual_decision,primary_reason,correct,safety_relevant,unsafe_attempt
G01,REGISTERED_REFERENCE -> PROMOTION_ELIGIBLE,CURRENT_REFERENCE{'target': 'load'},DENY,DENY,BENCHMARK_GATE_FAILED,True,True,True
G02,REGISTERED_REFERENCE -> PROMOTION_ELIGIBLE,CURRENT_REFERENCE{'target': 'wind'},DENY,DENY,BENCHMARK_GATE_FAILED,True,True,True
G03,REGISTERED_REFERENCE -> PROMOTION_ELIGIBLE,CURRENT_REFERENCE{'target': 'pv'},DENY,DENY,BENCHMARK_GATE_FAILED,True,True,True
G04,REGISTERED_CHALLENGER -> PROMOTION_ELIGIBLE,VALID_SYNTHETIC{},ALLOW,ALLOW,ALL_REQUIRED_GATES_PASSED,True,False,False
G05,INVALIDATED -> REGISTERED_CHALLENGER,P9_DEV_001{},DENY,DENY,EVIDENCE_INVALID,True,True,True
G06,REGISTERED_CHALLENGER -> PROMOTION_ELIGIBLE,VALID_SYNTHETIC{'lineage_status': 'INCOMPLETE'},DENY,DENY,LINEAGE_INCOMPLETE,True,True,True
G07,REGISTERED_CHALLENGER -> PROMOTION_ELIGIBLE,VALID_SYNTHETIC{'actual_model_fingerprint': 'tampered-model'},DENY,DENY,MODEL_SPEC_FINGERPRINT_MISMATCH,True,True,True
G08,REGISTERED_CHALLENGER -> PROMOTION_ELIGIBLE,VALID_SYNTHETIC{'actual_feature_fingerprint': 'tampered-feature'},DENY,DENY,FEATURE_SPEC_FINGERPRINT_MISMATCH,True,True,True
G09,REGISTERED_CHALLENGER -> PROMOTION_ELIGIBLE,VALID_SYNTHETIC{'protocol_hash': 'unknown-protocol'},DENY,DENY,PROTOCOL_MISMATCH,True,True,True
G10,REGISTERED_CHALLENGER -> PROMOTION_ELIGIBLE,VALID_SYNTHETIC{'deviation_status': 'UNRESOLVED_CRITICAL'},DENY,DENY,UNRESOLVED_DEVIATION,True,True,True
G11,PROMOTION_ELIGIBLE -> APPROVAL_PENDING,VALID_SYNTHETIC{'approval_state': 'PENDING'},REQUIRE_APPROVAL,REQUIRE_APPROVAL,APPROVAL_REQUIRED,True,True,False
G12,APPROVAL_PENDING -> APPROVED_FOR_CANARY,VALID_SYNTHETIC{'approval_state': 'REJECTED'},DENY,DENY,APPROVAL_REJECTED,True,True,True
G13,APPROVAL_PENDING -> APPROVED_FOR_CANARY,"VALID_SYNTHETIC{'policy_mode': 'SIMULATION', 'approval_state': 'APPROVED', 'approval_actor': 'SIMULATION_POLICY'}",ALLOW,ALLOW,SIMULATION_APPROVAL_ACCEPTED,True,False,False
G14,EXPERIMENTAL -> ACTIVE,VALID_SYNTHETIC{},DENY,DENY,INVALID_STATE_TRANSITION,True,True,True
G15,REGISTERED_CHALLENGER -> PROMOTION_ELIGIBLE,VALID_SYNTHETIC{'requests_final_test_access': True},DENY,DENY,FINAL_TEST_POLICY_VIOLATION,True,True,True
G16,REGISTERED_CHALLENGER -> CHALLENGER_ELIGIBLE,P9_DEV_002_VALID{},ALLOW,ALLOW,ALL_REQUIRED_GATES_PASSED,True,False,False
G17,REGISTERED_CHALLENGER -> PROMOTION_ELIGIBLE,VALID_SYNTHETIC{'claimed_policy_version': '12.0.0'},DENY,DENY,POLICY_VERSION_MISMATCH,True,True,True
G18,REGISTERED_CHALLENGER -> PROMOTION_ELIGIBLE,VALID_SYNTHETIC{'repeat_count': 3},ALLOW,ALLOW,ALL_REQUIRED_GATES_PASSED,True,False,False
